# Title : Profile directory file of the Argo Global Data Assembly Center
# Description : The directory file describes all individual profile files of the argo GDAC ftp site.
# Project : ARGO
# Format version : 2.0
# Date of update : 20190919200303
# FTP root number 1 : ftp://ftp.ifremer.fr/ifremer/argo/dac
# FTP root number 2 : ftp://usgodae.org/pub/outgoing/argo/dac
# GDAC node : CORIOLIS
file,date,latitude,longitude,ocean,profiler_type,institution,date_update
aoml/1901049/profiles/R1901049_368.nc,20190912051024,-5.823,57.708,I,846,AO,20190913010456
aoml/1901117/profiles/R1901117_375.nc,20190919082506,-39.108,47.532,I,846,AO,20190919180443
aoml/1901393/profiles/R1901393_350.nc,20190915060455,-48.895,138.394,I,846,AO,20190915180452
aoml/1901441/profiles/R1901441_319.nc,20190919122942,-1.462,97.021,I,846,AO,20190919180443
aoml/1901442/profiles/R1901442_319.nc,20190916140928,7.389,91.957,I,846,AO,20190917080550
aoml/1901446/profiles/R1901446_318.nc,20190915202330,-8.399,67.358,I,846,AO,20190916180537
aoml/1901509/profiles/R1901509_293.nc,20190919134101,-4.141,57.468,I,846,AO,20190919180443
aoml/1901510/profiles/R1901510_303.nc,20190912215614,-28.843,38.989,I,846,AO,20190913180501
aoml/1901516/profiles/R1901516_393.nc,20190912120127,-26.368,52.903,I,846,AO,20190913080519
aoml/1901517/profiles/R1901517_303.nc,20190913080441,8.105,57.793,I,846,AO,20190914010510
aoml/1901563/profiles/R1901563_213.nc,20190324162523,5.294,-18.512,A,851,AO,20190917211525
aoml/1901601/profiles/R1901601_250.nc,20190904150128,-10.733,3.624,A,854,AO,20190914100040
aoml/1901601/profiles/R1901601_251.nc,20190914085822,-10.464,3.741,A,854,AO,20190914100040
aoml/1901603/profiles/R1901603_252.nc,20190909172538,-11.727,5.709,A,854,AO,20190919120023
aoml/1901603/profiles/R1901603_253.nc,20190919102619,-11.694,5.683,A,854,AO,20190919120023
aoml/1901604/profiles/R1901604_257.nc,20190912230811,-38.292,16.142,A,846,AO,20190913180502
aoml/1901605/profiles/R1901605_257.nc,20190913042032,1.824,44.896,I,846,AO,20190914010511
aoml/1901606/profiles/R1901606_258.nc,20190916062344,-7.207,44.938,I,846,AO,20190917010543
aoml/1901641/profiles/R1901641_250.nc,20190908110423,-9.353,11.059,A,854,AO,20190918070025
aoml/1901641/profiles/R1901641_251.nc,20190918043826,-9.158,11.202,A,854,AO,20190918070025
aoml/1901647/profiles/R1901647_245.nc,20190905101843,-8.419,-5.344,A,854,AO,20190915050041
aoml/1901647/profiles/R1901647_246.nc,20190915032501,-8.800,-5.188,A,854,AO,20190915050042
aoml/1901665/profiles/R1901665_257.nc,20190908052957,-26.244,2.353,A,854,AO,20190918000024
aoml/1901665/profiles/R1901665_258.nc,20190917222830,-26.172,2.178,A,854,AO,20190918000025
aoml/1901685/profiles/R1901685_222.nc,20190814135043,-1.470,-2.701,A,854,AO,20190912215329
aoml/1901685/profiles/R1901685_223.nc,20190824071830,-1.507,-3.046,A,854,AO,20190912215330
aoml/1901685/profiles/R1901685_224.nc,20190903005440,-2.131,-3.547,A,854,AO,20190912215330
aoml/1901685/profiles/R1901685_225.nc,20190912183033,-2.163,-3.605,A,854,AO,20190912215330
aoml/1901688/profiles/R1901688_317.nc,20190919125222,34.226,-27.257,A,854,AO,20190919140107
aoml/1901694/profiles/R1901694_226.nc,20190905020539,17.549,-22.624,A,854,AO,20190914220032
aoml/1901694/profiles/R1901694_227.nc,20190914190255,17.755,-22.581,A,854,AO,20190914220032
aoml/1901701/profiles/R1901701_210.nc,20190904042212,-40.664,52.590,I,854,AO,20190914000122
aoml/1901701/profiles/R1901701_211.nc,20190913212318,-41.609,54.993,I,854,AO,20190914000122
aoml/1901708/profiles/R1901708_209.nc,20190908141209,-11.966,-15.378,A,854,AO,20190918090115
aoml/1901708/profiles/R1901708_210.nc,20190918070108,-12.104,-15.800,A,854,AO,20190918090116
aoml/1901711/profiles/R1901711_208.nc,20190909115350,-1.583,-10.873,A,854,AO,20190919070027
aoml/1901711/profiles/R1901711_209.nc,20190919043734,-2.015,-11.965,A,854,AO,20190919070027
aoml/1901713/profiles/R1901713_197.nc,20190904170209,5.543,-50.295,A,854,AO,20190914120045
aoml/1901713/profiles/R1901713_198.nc,20190914100658,6.174,-51.466,A,854,AO,20190914120046
aoml/1901716/profiles/R1901716_196.nc,20190905055728,-21.783,7.791,A,854,AO,20190915000033
aoml/1901716/profiles/R1901716_197.nc,20190914224403,-21.437,7.430,A,854,AO,20190915000033
aoml/1901717/profiles/R1901717_195.nc,20190903193036,2.722,-31.498,A,854,AO,20190913140115
aoml/1901717/profiles/R1901717_196.nc,20190913124202,3.175,-31.116,A,854,AO,20190913140115
aoml/1901719/profiles/R1901719_196.nc,20190908075538,-16.082,-1.170,A,854,AO,20190918020052
aoml/1901719/profiles/R1901719_197.nc,20190918005952,-16.366,-1.529,A,854,AO,20190918020052
aoml/1901721/profiles/R1901721_196.nc,20190909084019,0.590,-38.050,A,854,AO,20190919030023
aoml/1901721/profiles/R1901721_197.nc,20190919014157,0.061,-38.718,A,854,AO,20190919030023
aoml/1901722/profiles/R1901722_195.nc,20190903041735,6.878,-47.761,A,854,AO,20190913000048
aoml/1901722/profiles/R1901722_196.nc,20190912211750,6.248,-47.870,A,854,AO,20190913000048
aoml/1901727/profiles/R1901727_189.nc,20190910000021,-11.855,-10.248,A,854,AO,20190919190027
aoml/1901727/profiles/R1901727_190.nc,20190919163542,-11.944,-10.096,A,854,AO,20190919190027
aoml/1901728/profiles/R1901728_188.nc,20190906093230,8.438,-23.400,A,854,AO,20190916040209
aoml/1901728/profiles/R1901728_189.nc,20190916021427,8.326,-23.062,A,854,AO,20190916040209
aoml/1901729/profiles/R1901729_172.nc,20190919122204,-45.815,-77.824,P,854,AO,20190919140108
aoml/1901731/profiles/R1901731_150.nc,20190906101336,10.930,-40.807,A,854,AO,20190916110101
aoml/1901731/profiles/R1901731_151.nc,20190916090957,10.882,-40.767,A,854,AO,20190916110101
aoml/1901732/profiles/R1901732_151.nc,20190909113819,-16.518,4.407,A,854,AO,20190919050655
aoml/1901732/profiles/R1901732_152.nc,20190919031954,-16.509,4.708,A,854,AO,20190919050655
aoml/1901733/profiles/R1901733_151.nc,20190906220035,-14.030,-12.525,A,854,AO,20190916220025
aoml/1901733/profiles/R1901733_152.nc,20190916194759,-13.869,-12.686,A,854,AO,20190916220025
aoml/1901784/profiles/R1901784_151.nc,20190909034319,-12.435,-14.231,A,854,AO,20190919040020
aoml/1901784/profiles/R1901784_152.nc,20190919015917,-12.132,-14.156,A,854,AO,20190919040020
aoml/1901785/profiles/R1901785_151.nc,20190908032214,-13.080,-13.012,A,854,AO,20190918030022
aoml/1901785/profiles/R1901785_152.nc,20190918013026,-12.950,-13.020,A,854,AO,20190918030022
aoml/1901787/profiles/R1901787_182.nc,20190908085439,-20.447,73.735,I,853,AO,20190918040023
aoml/1901787/profiles/R1901787_183.nc,20190918014304,-20.419,73.583,I,853,AO,20190918040023
aoml/1901793/profiles/R1901793_179.nc,20190904223640,-28.952,38.658,I,853,AO,20190915020035
aoml/1901793/profiles/R1901793_180.nc,20190914225014,-30.319,38.241,I,853,AO,20190915020035
aoml/1901794/profiles/R1901794_180.nc,20190909115518,-44.637,28.283,I,853,AO,20190919120024
aoml/1901794/profiles/R1901794_181.nc,20190919100404,-44.736,28.529,I,853,AO,20190919120025
aoml/1901798/profiles/R1901798_179.nc,20190908235150,-34.373,59.370,I,853,AO,20190919040021
aoml/1901798/profiles/R1901798_180.nc,20190919013335,-34.034,59.239,I,853,AO,20190919040021
aoml/1901799/profiles/R1901799_179.nc,20190909033217,-27.450,76.856,I,853,AO,20190919070028
aoml/1901799/profiles/R1901799_180.nc,20190919034359,-27.259,76.833,I,853,AO,20190919070028
aoml/1901800/profiles/R1901800_142.nc,20190904084354,-51.257,79.494,I,853,AO,20190914110141
aoml/1901800/profiles/R1901800_143.nc,20190914085935,-51.691,81.154,I,853,AO,20190914110141
aoml/1901804/profiles/R1901804_141.nc,20190916183134,0.811,64.391,I,863,AO,20190916190112
aoml/1901811/profiles/R1901811_132.nc,20190908144332,-57.980,87.190,I,854,AO,20190918090123
aoml/1901811/profiles/R1901811_133.nc,20190918073909,-57.754,86.194,I,854,AO,20190918090123
aoml/1901813/profiles/R1901813_131.nc,20190906113101,-46.498,72.554,I,854,AO,20190916120028
aoml/1901813/profiles/R1901813_132.nc,20190916101751,-47.300,75.320,I,854,AO,20190916120029
aoml/1901814/profiles/R1901814_104.nc,20190904015748,-1.045,-22.287,A,854,AO,20190914020030
aoml/1901814/profiles/R1901814_105.nc,20190913232009,-0.848,-23.360,A,854,AO,20190914020030
aoml/1901818/profiles/R1901818_121.nc,20190904163150,-7.120,-11.265,A,854,AO,20190914170224
aoml/1901818/profiles/R1901818_122.nc,20190914134956,-7.361,-10.936,A,854,AO,20190914170224
aoml/1901819/profiles/R1901819_121.nc,20190903182721,-25.604,8.546,A,854,AO,20190913170138
aoml/1901819/profiles/R1901819_122.nc,20190913153732,-26.102,8.693,A,854,AO,20190913170138
aoml/1901820/profiles/R1901820_121.nc,20190906035932,-0.357,-8.978,A,854,AO,20190915220653
aoml/1901820/profiles/R1901820_122.nc,20190915194239,0.502,-10.713,A,854,AO,20190915220654
aoml/1901824/profiles/R1901824_105.nc,20190908193657,-24.329,1.883,A,854,AO,20190918220033
aoml/1901824/profiles/R1901824_106.nc,20190918180404,-24.916,2.167,A,854,AO,20190918220033
aoml/1901826/profiles/R1901826_104.nc,20190904172253,-5.453,5.086,A,854,AO,20190914220034
aoml/1901826/profiles/R1901826_105.nc,20190914181223,-5.425,5.239,A,854,AO,20190914220034
aoml/1901827/profiles/R1901827_102.nc,20190905192820,-43.007,-2.792,A,854,AO,20190915190250
aoml/1901827/profiles/R1901827_103.nc,20190915172747,-43.252,-2.609,A,854,AO,20190915190250
aoml/1901828/profiles/R1901828_103.nc,20190907145612,-36.065,-7.040,A,854,AO,20190917170054
aoml/1901828/profiles/R1901828_104.nc,20190917130022,-35.704,-7.286,A,854,AO,20190917170054
aoml/1901829/profiles/R1901829_103.nc,20190902223337,-30.067,-3.062,A,854,AO,20190913000050
aoml/1901829/profiles/R1901829_104.nc,20190912210238,-29.782,-3.205,A,854,AO,20190913000050
aoml/1901832/profiles/R1901832_132.nc,20190903022433,-46.318,54.189,I,853,AO,20190913040038
aoml/1901832/profiles/R1901832_133.nc,20190913021146,-46.000,54.415,I,853,AO,20190913040038
aoml/1901833/profiles/R1901833_132.nc,20190903193606,-39.399,28.355,I,853,AO,20190913220049
aoml/1901833/profiles/R1901833_133.nc,20190913195241,-39.015,28.694,I,853,AO,20190913220049
aoml/1901834/profiles/R1901834_125.nc,20190909170135,-48.860,113.174,I,853,AO,20190919190028
aoml/1901834/profiles/R1901834_126.nc,20190919172927,-49.099,114.327,I,853,AO,20190919190028
aoml/1901835/profiles/R1901835_125.nc,20190908005832,-49.486,122.659,I,853,AO,20190918030023
aoml/1901835/profiles/R1901835_126.nc,20190918005311,-50.256,124.600,I,853,AO,20190918030023
aoml/1901836/profiles/R1901836_125.nc,20190907115216,-33.407,-6.418,A,853,AO,20190917140222
aoml/1901836/profiles/R1901836_126.nc,20190917112757,-33.355,-6.427,A,853,AO,20190917140222
aoml/1901837/profiles/R1901837_125.nc,20190905200925,-33.291,60.666,I,853,AO,20190916000218
aoml/1901837/profiles/R1901837_126.nc,20190915204541,-33.832,60.545,I,853,AO,20190916000218
aoml/1901839/profiles/R1901839_106.nc,20190906094927,-10.251,66.260,I,853,AO,20190916120030
aoml/1901839/profiles/R1901839_107.nc,20190916102100,-9.885,67.284,I,853,AO,20190916120030
aoml/1901840/profiles/R1901840_106.nc,20190906041224,-11.137,70.821,I,853,AO,20190916050023
aoml/1901840/profiles/R1901840_107.nc,20190916033812,-11.337,71.246,I,853,AO,20190916050024
aoml/1901841/profiles/R1901841_106.nc,20190906230414,-14.832,62.149,I,853,AO,20190917000032
aoml/1901841/profiles/R1901841_107.nc,20190916230147,-13.913,61.862,I,853,AO,20190917000033
aoml/1901842/profiles/R1901842_106.nc,20190907164313,-7.902,65.867,I,853,AO,20190917190213
aoml/1901842/profiles/R1901842_107.nc,20190917164250,-7.164,65.463,I,853,AO,20190917190213
aoml/1901843/profiles/R1901843_106.nc,20190908135608,-13.865,69.754,I,853,AO,20190918170115
aoml/1901843/profiles/R1901843_107.nc,20190918144829,-13.804,69.418,I,853,AO,20190918170115
aoml/1902026/profiles/R1902026_105.nc,20190907143830,-17.528,49.873,I,853,AO,20190917170053
aoml/1902026/profiles/R1902026_106.nc,20190917145004,-16.916,50.506,I,853,AO,20190917170053
aoml/1902027/profiles/R1902027_105.nc,20190908042829,-43.931,14.085,A,853,AO,20190918070027
aoml/1902027/profiles/R1902027_106.nc,20190918044527,-44.369,14.300,A,853,AO,20190918070028
aoml/1902029/profiles/R1902029_105.nc,20190907160052,-30.749,36.830,I,853,AO,20190917190213
aoml/1902029/profiles/R1902029_106.nc,20190917160226,-30.138,36.473,I,853,AO,20190917190214
aoml/1902035/profiles/R1902035_104.nc,20190903224346,-39.958,85.891,I,853,AO,20190914020032
aoml/1902035/profiles/R1902035_105.nc,20190913225109,-39.488,85.139,I,853,AO,20190914020032
aoml/1902036/profiles/R1902036_004.nc,20190209074016,-36.090,82.866,I,853,AO,20190916211524
aoml/1902036/profiles/R1902036_025.nc,20190905205354,-35.746,83.302,I,853,AO,20190915220702
aoml/1902036/profiles/R1902036_026.nc,20190915191116,-35.879,83.499,I,853,AO,20190915220702
aoml/1902037/profiles/R1902037_025.nc,20190907104133,-35.310,71.821,I,853,AO,20190917110143
aoml/1902037/profiles/R1902037_026.nc,20190917084721,-35.031,71.710,I,853,AO,20190917110143
aoml/1902038/profiles/R1902038_025.nc,20190907105327,-36.687,69.722,I,853,AO,20190917110144
aoml/1902038/profiles/R1902038_026.nc,20190917084858,-36.737,69.430,I,853,AO,20190917110144
aoml/1902039/profiles/R1902039_025.nc,20190907234258,-35.558,66.132,I,853,AO,20190918000030
aoml/1902039/profiles/R1902039_026.nc,20190917213158,-35.687,66.319,I,853,AO,20190918000031
aoml/1902041/profiles/R1902041_025.nc,20190909184553,-33.428,64.625,I,853,AO,20190919190030
aoml/1902041/profiles/R1902041_026.nc,20190919170251,-33.248,65.063,I,853,AO,20190919190031
aoml/1902056/profiles/R1902056_103.nc,20190913184044,-8.807,66.295,I,863,AO,20190913220051
aoml/1902057/profiles/R1902057_103.nc,20190913184001,-4.044,46.383,I,863,AO,20190913220050
aoml/1902060/profiles/R1902060_103.nc,20190907222540,-31.981,-21.323,A,854,AO,20190918000027
aoml/1902060/profiles/R1902060_104.nc,20190917210633,-32.044,-21.484,A,854,AO,20190918000027
aoml/1902061/profiles/R1902061_102.nc,20190903030910,-33.794,-35.904,A,854,AO,20190913030124
aoml/1902061/profiles/R1902061_103.nc,20190913013635,-33.692,-35.767,A,854,AO,20190913030125
aoml/1902062/profiles/R1902062_116.nc,20190908005925,-32.788,-13.342,A,854,AO,20190918020057
aoml/1902062/profiles/R1902062_117.nc,20190917230648,-32.903,-13.405,A,854,AO,20190918020058
aoml/1902063/profiles/R1902063_103.nc,20190903171839,-34.786,12.495,A,854,AO,20190913170143
aoml/1902063/profiles/R1902063_104.nc,20190913142056,-34.985,12.265,A,854,AO,20190913170143
aoml/1902066/profiles/R1902066_103.nc,20190907103215,-37.715,-5.618,A,854,AO,20190917110142
aoml/1902066/profiles/R1902066_104.nc,20190917084500,-37.897,-5.711,A,854,AO,20190917110142
aoml/1902068/profiles/R1902068_103.nc,20190906064118,-35.851,-7.462,A,854,AO,20190916070043
aoml/1902068/profiles/R1902068_104.nc,20190916051935,-35.755,-7.501,A,854,AO,20190916070043
aoml/1902070/profiles/R1902070_070.nc,20190904005717,-0.656,-4.998,A,854,AO,20190914000133
aoml/1902070/profiles/R1902070_071.nc,20190913221850,-0.673,-5.571,A,854,AO,20190914000133
aoml/1902071/profiles/R1902071_070.nc,20190904074548,-2.692,-22.609,A,854,AO,20190914070225
aoml/1902071/profiles/R1902071_071.nc,20190914050020,-2.578,-22.798,A,854,AO,20190914070225
aoml/1902072/profiles/R1902072_070.nc,20190905113458,1.425,-14.930,A,854,AO,20190915120035
aoml/1902072/profiles/R1902072_071.nc,20190915095843,1.234,-15.340,A,854,AO,20190915120035
aoml/1902073/profiles/R1902073_004.nc,20171120101218,4.085,-25.362,A,854,AO,20190913220054
aoml/1902073/profiles/R1902073_005.nc,20171130085500,3.604,-25.526,A,854,AO,20190913220054
aoml/1902073/profiles/R1902073_070.nc,20190906170024,4.644,-25.692,A,854,AO,20190916170126
aoml/1902073/profiles/R1902073_071.nc,20190916152420,4.240,-25.458,A,854,AO,20190916170126
aoml/1902180/profiles/R1902180_004.nc,20171120084554,6.040,-27.512,A,854,AO,20190913220054
aoml/1902180/profiles/R1902180_005.nc,20171130065800,6.197,-28.045,A,854,AO,20190913220054
aoml/1902180/profiles/R1902180_070.nc,20190907005511,5.721,-29.147,A,854,AO,20190917020036
aoml/1902180/profiles/R1902180_071.nc,20190916231920,5.737,-29.222,A,854,AO,20190917020037
aoml/1902181/profiles/R1902181_004.nc,20171120221020,7.944,-29.341,A,854,AO,20190913220055
aoml/1902181/profiles/R1902181_005.nc,20171130204317,8.007,-29.391,A,854,AO,20190913220055
aoml/1902181/profiles/R1902181_070.nc,20190907193238,6.815,-26.537,A,854,AO,20190917220039
aoml/1902181/profiles/R1902181_071.nc,20190917181548,6.885,-26.665,A,854,AO,20190917220039
aoml/1902183/profiles/R1902183_056.nc,20190909142142,-13.250,-13.108,A,854,AO,20190919170029
aoml/1902183/profiles/R1902183_057.nc,20190919150901,-13.203,-13.237,A,854,AO,20190919170029
aoml/1902184/profiles/R1902184_107.nc,20190515024627,18.478,-27.605,A,854,AO,20190913190320
aoml/1902184/profiles/R1902184_108.nc,20190515211828,18.464,-27.631,A,854,AO,20190913190321
aoml/1902184/profiles/R1902184_123.nc,20190529023045,18.019,-27.767,A,854,AO,20190913190321
aoml/1902184/profiles/R1902184_124.nc,20190529221923,17.992,-27.776,A,854,AO,20190913190321
aoml/1902184/profiles/R1902184_206.nc,20190912064443,19.504,-28.369,A,854,AO,20190913030126
aoml/1902184/profiles/R1902184_207.nc,20190913013325,19.477,-28.384,A,854,AO,20190913220055
aoml/1902184/profiles/R1902184_208.nc,20190913184921,19.432,-28.391,A,854,AO,20190914170228
aoml/1902184/profiles/R1902184_209.nc,20190914135448,19.411,-28.407,A,854,AO,20190915070419
aoml/1902184/profiles/R1902184_210.nc,20190915053503,19.376,-28.421,A,854,AO,20190916020141
aoml/1902184/profiles/R1902184_211.nc,20190915231806,19.347,-28.436,A,854,AO,20190916170128
aoml/1902184/profiles/R1902184_212.nc,20190916145625,19.318,-28.449,A,854,AO,20190917090046
aoml/1902184/profiles/R1902184_213.nc,20190917065630,19.286,-28.469,A,854,AO,20190918020059
aoml/1902184/profiles/R1902184_214.nc,20190917233419,19.253,-28.483,A,854,AO,20190918170119
aoml/1902184/profiles/R1902184_215.nc,20190918150620,19.230,-28.498,A,854,AO,20190919100024
aoml/1902184/profiles/R1902184_216.nc,20190919080112,19.205,-28.518,A,854,AO,20190919100025
aoml/1902185/profiles/R1902185_056.nc,20190908194606,-10.668,-15.696,A,854,AO,20190919000029
aoml/1902185/profiles/R1902185_057.nc,20190918201816,-10.957,-15.992,A,854,AO,20190919000029
aoml/1902189/profiles/R1902189_049.nc,20190912200817,-2.720,59.339,I,863,AO,20190912215402
aoml/1902191/profiles/R1902191_051.nc,20190918184218,-20.486,54.894,I,863,AO,20190918220034
aoml/1902192/profiles/R1902192_052.nc,20190917182001,-20.765,42.885,I,863,AO,20190917190217
aoml/1902193/profiles/R1902193_049.nc,20190916185807,0.957,62.421,I,863,AO,20190916220028
aoml/1902194/profiles/R1902194_049.nc,20190918194639,4.474,62.653,I,863,AO,20190918220034
aoml/1902197/profiles/R1902197_037.nc,20190916171106,0.144,-142.919,P,863,AO,20190916190123
aoml/1902198/profiles/R1902198_045.nc,20190913184601,-1.753,75.031,I,863,AO,20190913220053
aoml/1902199/profiles/R1902199_037.nc,20190917183016,-3.900,-140.408,P,863,AO,20190917190218
aoml/1902201/profiles/R1902201_045.nc,20190917174517,-12.561,66.394,I,863,AO,20190917190218
aoml/1902202/profiles/R1902202_032.nc,20190917203002,-6.931,46.340,I,863,AO,20190917220038
aoml/1902206/profiles/R1902206_056.nc,20190907091214,-14.845,-2.118,A,854,AO,20190917100025
aoml/1902206/profiles/R1902206_057.nc,20190917080517,-14.585,-1.987,A,854,AO,20190917100025
aoml/1902207/profiles/R1902207_058.nc,20190909125704,13.227,-21.834,A,854,AO,20190919120025
aoml/1902207/profiles/R1902207_059.nc,20190919100041,13.296,-21.548,A,854,AO,20190919120025
aoml/1902208/profiles/R1902208_057.nc,20190903155524,22.593,-18.019,A,854,AO,20190913170145
aoml/1902208/profiles/R1902208_058.nc,20190913141841,22.580,-17.917,A,854,AO,20190913170145
aoml/1902212/profiles/R1902212_098.nc,20190912103539,-39.538,11.587,A,854,AO,20190917100025
aoml/1902212/profiles/R1902212_099.nc,20190917075630,-39.558,11.936,A,854,AO,20190917100025
aoml/1902213/profiles/R1902213_097.nc,20190908035553,-47.985,25.665,I,854,AO,20190913030126
aoml/1902213/profiles/R1902213_098.nc,20190913012934,-47.932,25.570,I,854,AO,20190913030127
aoml/1902214/profiles/R1902214_098.nc,20190911075412,-42.012,26.438,I,854,AO,20190916070047
aoml/1902214/profiles/R1902214_099.nc,20190916044231,-42.173,26.522,I,854,AO,20190916070048
aoml/1902216/profiles/R1902216_102.nc,20190810172125,-41.677,36.949,I,854,AO,20190913190321
aoml/1902216/profiles/R1902216_103.nc,20190820185620,-41.857,37.678,I,854,AO,20190913190322
aoml/1902218/profiles/R1902218_050.nc,20190907035055,-46.266,31.520,I,854,AO,20190917020037
aoml/1902218/profiles/R1902218_051.nc,20190917001423,-46.003,31.298,I,854,AO,20190917020037
aoml/1902219/profiles/R1902219_137.nc,20190909073222,-34.487,9.275,A,854,AO,20190914170228
aoml/1902219/profiles/R1902219_138.nc,20190914133408,-34.316,8.632,A,854,AO,20190914170228
aoml/1902220/profiles/R1902220_053.nc,20190904194949,-38.734,18.640,A,854,AO,20190914000133
aoml/1902220/profiles/R1902220_054.nc,20190913211230,-37.133,16.485,A,854,AO,20190914000134
aoml/1902221/profiles/R1902221_018.nc,20190906114604,-37.580,25.922,I,854,AO,20190916120031
aoml/1902221/profiles/R1902221_019.nc,20190916103828,-38.352,27.740,I,854,AO,20190916120032
aoml/1902222/profiles/R1902222_018.nc,20190906003252,-39.742,27.622,I,854,AO,20190916000220
aoml/1902222/profiles/R1902222_019.nc,20190915220240,-39.293,27.555,I,854,AO,20190916000221
aoml/1902223/profiles/R1902223_018.nc,20190906093913,-41.527,32.057,I,854,AO,20190916090102
aoml/1902223/profiles/R1902223_019.nc,20190916072425,-41.717,32.586,I,854,AO,20190916090103
aoml/1902224/profiles/R1902224_018.nc,20190906205640,-43.643,30.889,I,854,AO,20190916220030
aoml/1902224/profiles/R1902224_019.nc,20190916184035,-44.046,31.287,I,854,AO,20190916220030
aoml/1902225/profiles/R1902225_017.nc,20190908080608,-37.706,29.922,I,873,AO,20190918090125
aoml/1902225/profiles/R1902225_018.nc,20190918064430,-36.692,29.893,I,873,AO,20190918090126
aoml/1902226/profiles/R1902226_017.nc,20190908084155,-44.054,27.195,I,873,AO,20190918100023
aoml/1902226/profiles/R1902226_018.nc,20190918074016,-44.504,27.338,I,873,AO,20190918100024
aoml/2902388/profiles/R2902388_142.nc,20190903155606,10.023,65.489,I,854,AO,20190913170137
aoml/2902388/profiles/R2902388_143.nc,20190913131119,10.188,65.539,I,854,AO,20190913170137
aoml/2902389/profiles/R2902389_142.nc,20190903235136,10.502,62.195,I,854,AO,20190913170138
aoml/2902389/profiles/R2902389_143.nc,20190913155009,10.603,62.314,I,854,AO,20190913170138
aoml/2902391/profiles/R2902391_142.nc,20190905155149,15.094,57.510,I,854,AO,20190915170302
aoml/2902391/profiles/R2902391_143.nc,20190915140019,15.081,57.049,I,854,AO,20190915170302
aoml/2902392/profiles/R2902392_142.nc,20190904134819,5.193,49.526,I,854,AO,20190914140036
aoml/2902392/profiles/R2902392_143.nc,20190914110958,4.042,50.377,I,854,AO,20190914140036
aoml/2902393/profiles/R2902393_141.nc,20190903051936,11.456,67.102,I,854,AO,20190913030117
aoml/2902393/profiles/R2902393_142.nc,20190913011825,11.281,67.047,I,854,AO,20190913030118
aoml/2902396/profiles/R2902396_141.nc,20190907161748,-2.581,62.053,I,854,AO,20190917170053
aoml/2902396/profiles/R2902396_142.nc,20190917142401,-2.841,61.906,I,854,AO,20190917170053
aoml/2902397/profiles/R2902397_141.nc,20190906124028,0.568,81.968,I,854,AO,20190916070041
aoml/2902397/profiles/R2902397_142.nc,20190916042953,0.421,81.354,I,854,AO,20190916070041
aoml/2902398/profiles/R2902398_141.nc,20190907022643,3.081,86.111,I,854,AO,20190917030017
aoml/2902398/profiles/R2902398_142.nc,20190917013330,3.831,86.078,I,854,AO,20190917030018
aoml/2903131/profiles/R2903131_172.nc,20190911002715,1.009,83.337,I,854,AO,20190914110148
aoml/2903131/profiles/R2903131_173.nc,20190914091656,0.976,83.283,I,854,AO,20190917220040
aoml/2903131/profiles/R2903131_174.nc,20190917180401,0.898,83.202,I,854,AO,20190917220040
aoml/2903132/profiles/R2903132_051.nc,20190908204828,4.318,86.639,I,854,AO,20190918220034
aoml/2903132/profiles/R2903132_052.nc,20190918180310,4.333,87.324,I,854,AO,20190918220035
aoml/2903135/profiles/R2903135_078.nc,20190907234429,6.132,84.134,I,873,AO,20190917220041
aoml/2903135/profiles/R2903135_079.nc,20190917193144,6.436,84.879,I,873,AO,20190917220041
aoml/2903418/profiles/R2903418_012.nc,20190907183838,29.195,176.625,P,853,AO,20190917190219
aoml/2903418/profiles/R2903418_013.nc,20190917165458,29.426,176.685,P,853,AO,20190917190219
aoml/2903419/profiles/R2903419_012.nc,20190908011731,30.616,174.503,P,853,AO,20190918020104
aoml/2903419/profiles/R2903419_013.nc,20190917232613,30.019,174.532,P,853,AO,20190918020104
aoml/2903421/profiles/R2903421_012.nc,20190909130902,31.215,171.355,P,853,AO,20190919140114
aoml/2903421/profiles/R2903421_013.nc,20190919112425,31.401,171.497,P,853,AO,20190919140114
aoml/3900453/profiles/R3900453_425.nc,20190917194549,-12.754,-160.152,P,846,AO,20190918180521
aoml/3900499/profiles/R3900499_477.nc,20190912234539,13.850,-113.980,P,846,AO,20190913080517
aoml/3900500/profiles/R3900500_477.nc,20190913182719,12.343,-93.733,P,846,AO,20190914080537
aoml/3900585/profiles/R3900585_439.nc,20190914033326,-7.366,158.728,P,846,AO,20190914180545
aoml/3900587/profiles/R3900587_438.nc,20190915085258,13.496,-166.036,P,846,AO,20190916010505
aoml/3900614/profiles/R3900614_424.nc,20190912065142,-7.369,169.131,P,846,AO,20190913010455
aoml/3900778/profiles/R3900778_334.nc,20190914101515,-28.758,-88.121,P,846,AO,20190915010500
aoml/3900785/profiles/R3900785_256.nc,20190918194716,11.295,-99.741,P,846,AO,20190919080458
aoml/3901002/profiles/R3901002_278.nc,20190916033619,-7.901,-88.021,P,854,AO,20190916050022
aoml/3901038/profiles/R3901038_215.nc,20190908033949,-11.768,-25.221,A,854,AO,20190917220032
aoml/3901038/profiles/R3901038_216.nc,20190917203857,-11.717,-24.871,A,854,AO,20190917220033
aoml/3901039/profiles/R3901039_223.nc,20190905044406,-9.256,-30.526,A,854,AO,20190915000031
aoml/3901039/profiles/R3901039_224.nc,20190914214801,-9.224,-30.755,A,854,AO,20190915000032
